2394
154.86, 175.51, -0.0
154.05, 177.11, -0.0
155.99, 175.77, -0.0
155.12, 175.35, -0.0
157.25, 174.91, -0.0
156.95, 173.96, -0.0
156.11, 175.87, -0.0
151.88, 178.14, -0.0
147.28, 179.53, -0.0
149.61, 178.94, -0.0
158.64, 138.75, -0.0
167.78, 167.97, 16.98
167.36, 169.26, 17.15
166.94, 169.27, 18.35
166.47, 169.16, 19.96
113.74, 148.32, 0.0
119.06, 148.39, 0.0
113.74, 148.02, 0.0
113.96, 147.74, 0.0
167.32, 166.72, 17.94
166.61, 168.08, 19.88
114.51, 148.82, 3.98
166.74, 169.84, 17.62
166.45, 170.06, 17.0
166.36, 170.13, 17.56
114.18, 151.52, 0.0
114.56, 147.15, 4.32
166.55, 169.43, 19.33
117.32, 144.93, 4.86
115.57, 144.42, 1.11
116.77, 143.92, 4.09
118.21, 142.61, 6.2
115.3, 146.12, 3.1
115.46, 146.03, 0.09
161.21, 172.37, 23.85
159.77, 174.05, 28.47
160.97, 172.52, 25.5
159.5, 174.66, 30.0
159.48, 174.67, 30.0
160.1, 172.44, 30.0
160.81, 170.94, 28.0
160.84, 172.14, 26.65
160.37, 170.88, 30.0
114.35, 146.79, 0.0
115.82, 144.91, 8.5
160.04, 173.19, 30.0
158.16, 174.83, 30.0
158.34, 174.65, 28.24
115.41, 146.04, 0.0
115.36, 146.1, 0.0
119.06, 148.38, 0.0
115.3, 145.48, 0.0
120.89, 143.95, 0.0
114.96, 143.93, 0.0
114.97, 143.74, 0.0
116.6, 142.74, 2.89
163.73, 168.32, 30.0
163.7, 169.34, 29.07
163.51, 169.27, 30.0
115.18, 142.76, 0.0
161.91, 168.71, 28.78
163.55, 169.13, 27.78
107.42, 165.84, 0.0
113.89, 159.86, 0.0
106.24, 164.77, 0.0
108.5, 167.41, 0.0
163.9, 169.27, 25.99
163.56, 169.25, 26.08
163.3, 169.18, 26.74
163.26, 169.96, 18.62
162.86, 170.13, 18.95
162.89, 169.98, 19.21
163.26, 169.83, 19.14
162.85, 169.14, 25.88
163.31, 169.2, 25.6
162.92, 169.83, 19.49
163.94, 167.38, 16.07
164.06, 167.05, 15.13
164.57, 166.03, 15.62
164.09, 169.2, 26.14
164.33, 169.22, 25.67
164.52, 166.32, 16.5
164.59, 169.2, 25.25
164.35, 169.33, 25.33
164.96, 168.81, 25.26
165.42, 165.4, 15.37
165.73, 165.23, 12.35
165.54, 165.44, 12.97
164.14, 169.35, 25.07
163.83, 169.42, 24.7
159.99, 138.24, 27.79
160.14, 138.84, 30.0
160.1, 138.84, 30.0
161.09, 138.46, 28.16
161.08, 139.02, 30.0
160.26, 138.94, 30.0
163.41, 169.87, 18.75
163.35, 170.18, 18.04
163.66, 169.82, 19.31
164.07, 169.9, 19.34
164.37, 169.95, 19.46
164.14, 170.03, 18.74
160.96, 136.95, 22.8
159.97, 136.82, 22.47
159.25, 136.8, 23.38
158.81, 137.03, 25.99
165.42, 163.55, 11.3
165.77, 159.43, 8.08
166.49, 159.56, 11.3
165.52, 163.84, 16.29
166.22, 165.68, 7.06
166.49, 170.33, 6.82
166.74, 170.08, 5.11
166.09, 170.18, 4.81
170.6, 167.23, 6.7
170.35, 167.14, 4.76
169.45, 168.33, 7.56
167.22, 169.8, 7.99
171.03, 167.48, 0.0
171.06, 167.39, 0.0
168.28, 166.41, 0.0
171.0, 167.51, 0.0
169.11, 168.96, 1.78
168.69, 169.13, 0.0
168.28, 169.28, 8.23
153.34, 129.19, 14.51
152.19, 128.38, 14.0
152.28, 128.07, 12.8
167.75, 169.29, 0.0
166.7, 169.59, 0.0
169.4, 168.8, 0.0
152.61, 128.95, 15.26
153.75, 129.96, 15.55
153.54, 129.57, 14.15
154.53, 130.57, 14.73
153.16, 128.85, 12.97
151.91, 128.04, 13.67
152.78, 128.44, 13.22
166.43, 169.99, 3.53
165.39, 170.85, 4.66
165.91, 170.12, 7.63
151.08, 127.14, 14.63
150.93, 126.74, 13.21
151.37, 127.41, 13.69
150.59, 126.74, 19.68
150.94, 126.74, 12.37
127.03, 168.91, 30.0
125.76, 169.97, 25.85
128.55, 172.76, 25.85
129.62, 171.49, 30.0
165.66, 170.22, 17.49
166.15, 170.05, 17.74
125.66, 171.95, 28.04
126.79, 173.68, 30.0
127.11, 173.97, 28.33
128.38, 174.2, 30.0
129.69, 174.92, 30.0
128.68, 174.67, 27.95
127.41, 173.82, 30.0
165.76, 170.08, 18.09
164.8, 169.28, 24.68
166.23, 169.96, 18.19
105.86, 163.73, 0.0
107.22, 162.71, 2.3
163.25, 169.28, 24.83
162.79, 169.13, 25.32
165.43, 170.11, 18.21
165.36, 168.59, 24.3
165.16, 168.28, 25.9
165.01, 168.08, 30.0
165.74, 167.87, 30.0
166.21, 167.36, 26.82
108.63, 163.49, 3.24
109.54, 165.36, 2.89
108.97, 162.08, 5.0
104.71, 159.29, 0.0
104.19, 160.04, 0.0
104.4, 162.05, 0.0
104.0, 161.12, 0.0
104.22, 161.87, 0.0
104.28, 161.83, 0.09
105.96, 160.24, 2.64
107.79, 159.34, 5.08
104.46, 160.52, 0.7
161.83, 168.68, 30.0
161.59, 168.99, 30.0
108.82, 161.22, 5.42
107.8, 156.83, 0.0
106.33, 157.83, 0.0
112.12, 157.64, 0.0
106.0, 158.24, 0.0
106.72, 157.98, 3.5
160.51, 170.52, 30.0
161.99, 168.74, 27.7
109.08, 157.88, 7.21
110.22, 158.08, 8.18
164.96, 170.19, 18.0
165.1, 170.0, 18.81
165.49, 170.27, 16.86
162.05, 168.76, 26.92
161.6, 169.73, 26.55
160.4, 168.17, 28.58
159.85, 167.98, 30.0
159.2, 168.91, 30.0
159.79, 167.96, 30.0
164.34, 170.14, 18.3
164.54, 170.13, 17.64
161.29, 168.49, 26.31
125.72, 172.21, 30.0
164.62, 170.15, 16.6
127.86, 173.59, 21.1
165.95, 170.24, 16.86
126.71, 173.65, 23.49
127.28, 175.57, 19.52
126.89, 174.92, 16.88
128.61, 176.37, 20.13
131.06, 176.27, 16.2
127.62, 173.87, 16.2
127.86, 173.59, 11.3
163.77, 170.08, 18.1
125.5, 170.2, 8.08
128.33, 173.02, 8.08
126.96, 174.44, -0.0
125.62, 173.22, 0.0
126.96, 174.44, 0.0
123.2, 166.92, 8.08
125.5, 140.7, 8.08
122.66, 169.78, 24.74
121.55, 167.71, 30.0
121.74, 167.91, 30.0
124.77, 170.47, 30.0
163.18, 170.53, 17.92
124.6, 170.3, 30.0
163.01, 170.64, 18.17
122.99, 168.74, 30.0
163.36, 170.42, 17.68
123.72, 170.15, 25.54
176.74, 146.58, -0.0
175.01, 150.57, -0.0
176.8, 146.76, -0.0
176.89, 149.0, -0.0
177.13, 148.46, -0.0
176.59, 149.19, -0.0
175.81, 150.06, -0.0
123.1, 168.8, 30.0
176.66, 146.12, -0.0
176.82, 146.27, -0.0
176.87, 146.19, -0.0
176.83, 146.31, -0.0
173.08, 140.46, -0.0
176.58, 145.98, -0.0
177.04, 145.38, -0.0
174.37, 140.86, -0.0
176.58, 145.96, -0.0
177.64, 143.08, -0.0
177.46, 142.92, -0.0
177.18, 143.7, -0.0
124.01, 171.47, 21.14
124.6, 171.4, 23.53
158.64, 172.39, -0.0
159.96, 170.9, -0.0
123.97, 169.53, 30.0
161.11, 172.88, -0.0
161.98, 171.97, -0.0
162.25, 171.69, -0.0
160.17, 170.66, -0.0
162.37, 171.34, -0.0
159.75, 173.77, -0.0
158.38, 172.63, -0.0
158.68, 174.12, -0.0
124.93, 170.67, 21.1
164.68, 169.69, -0.0
164.75, 169.52, -0.0
163.65, 169.32, -0.0
